Please provide your name,Please provide your telegram handle (eg: @example_handle),What is your room number?,Please Indicate your commitment level.,Do you consent to allowing your trainer to enter your room for surprises and/or welfare?,Are you comfortable with your Trainer being of the opposite gender?,Please let us know if there is anything we should take note of when arranging the pairings.,"Preferences for surprises (e.g. no horror themes, okay with water)","Likes and Dislikes for Welfare (e.g. chips, fruit tea, no nuts)"
Ada Lovelace,@ada_example,01-01,"Medium: Welfare, and small pranks",Yes,Yes,,Fine with anything except powder,Loves dark chocolate and fruit tea. No nuts (allergy).
Grace Hopper,@grace_example,01-02,"Medium: Welfare, and small pranks",Yes,No,,Please don't move my desk,"Chips, iced coffee. Dislikes anything spicy."
Alan Turing,@alan_example,01-03,"Medium: Welfare, and small pranks",No,Yes,,Do not enter my room. Leave things at the door.,"Earl Grey tea, shortbread."
Katherine Johnson,@kj_example,01-04,"Medium: Welfare, and small pranks",Yes,Yes,Please don't pair me with Alan,"Water surprises fine, nothing after 11pm","Fresh fruit, orange juice."
Tim Berners-Lee,@tim_example,02-01,"Low: Only welfare, no pranks",Yes,Yes,,"No pranks please, just welfare","Biscuits, flat white."
Radia Perlman,@radia_example,02-02,"Low: Only welfare, no pranks",Yes,Yes,,No pranks please,Anything savoury. Hates durian.
Barbara Liskov,@barbara_example,02-03,"Low: Only welfare, no pranks",No,Yes,,Do not enter my room,"Green tea, almond croissants."
Margaret Hamilton,@margaret_example,03-01,"High: Very good welfare, and big pranks",Yes,Yes,,"Go wild, but nothing that stains","Bubble tea (less sugar), mala chips."
Donald Knuth,@donald_example,03-02,"High: Very good welfare, and big pranks",Yes,Yes,,Fine with furniture being moved,"Coffee, dark chocolate. No milk."
Anita Borg,@anita_example,03-03,"High: Very good welfare, and big pranks",Yes,No,,Nothing involving my wardrobe,"Matcha latte, mochi."
